"","X","GAD.1","GAD.2","GAD.3","GAD.4","GAD.5","GAD.6","GAD.7","FOC.1","FOC.2","FOC.3","FOC.4","FOC.5","FOC.6","IUS.1","IUS.2","IUS.3","MAAS.1","MAAS.2","MAAS.3","MAAS.4","MAAS.5","FinancePlan","MortalityRisk","MentalHealth","CRA.1","CRA.2","CRA.3","CRA.4","CRA.5","CRA.6","Government","Norm","CurrentBehavior","RAB.1","RAB.2","RAB.3","RAB.4","RAB.5","RAB.6","Stockpil","RiskPerception","Vaccine","Origin","BacktoNormal","News","Born","Gender","Country","Region","Education","Language","Children","LiveWith","FinancialSatisfaction","GAD.mean","FOC.mean","IUS.mean","MAAS.mean","CRA.mean","RAB.mean","sex","edu","origin","origin_binomial","age","vac_hes","child","news_opposite","new_region","new_back_normal","new_finance_plan"
"1157",1164,2,2,4,2,2,3,3,2,4,2,2,2,2,2,1,3,6,5,5,4,1,7,60,2,3,3,2,3,2,3,2,1,3,4,3,3,4,1,4,2,51,1,3,4,2,15,2,1,2,3,1,2,3,0,2.57142857142857,2.33333333333333,2,4.2,2.66666666666667,3.16666666666667,"Male","below_ug","not_sure",0,31,1,"no",5,"istanbul","6to12months",0
"1158",1165,2,2,2,4,2,2,2,4,4,4,4,3,4,2,4,3,4,3,3,2,3,2,58,2,4,3,4,4,4,4,1,3,3,4,4,4,4,4,4,4,94,1,1,5,3,5,1,1,3,3,1,2,3,24,2.28571428571429,3.83333333333333,3,3,3.83333333333333,4,"Female","below_ug","natural",1,21,1,"no",4,"ankara","more12months",2
"1159",1166,4,2,3,3,2,4,2,4,4,5,3,2,4,4,4,2,2,2,5,1,2,7,100,2,3,3,2,1,2,3,2,1,4,4,4,4,4,4,4,4,1,1,1,3,4,25,2,1,3,4,1,1,3,30,2.85714285714286,3.66666666666667,3.33333333333333,2.4,2.33333333333333,4,"Male","ug","natural",1,41,1,"yes",3,"ankara","less6months",0
"1160",1167,4,4,4,4,2,3,3,4,2,4,3,5,5,5,5,5,6,5,4,5,1,5,80,2,4,2,3,2,4,4,2,2,4,4,4,4,4,4,3,2,80,1,1,4,4,13,1,1,3,5,1,2,1,70,3.42857142857143,3.83333333333333,5,4.2,3.16666666666667,3.83333333333333,"Female","pg","natural",1,29,1,"no",3,"ankara","6to12months",5
"1161",1168,2,3,3,2,1,1,2,5,4,5,3,3,3,3,3,1,6,5,5,5,2,3,98,2,4,2,4,2,2,2,2,2,4,4,4,4,4,4,4,2,0,3,1,5,3,47,1,1,4,3,1,1,3,75,2,3.83333333333333,2.33333333333333,4.6,2.66666666666667,4,"Female","below_ug","natural",1,63,0,"yes",4,"izmir","more12months",3
"1162",1169,2,2,4,3,1,2,2,4,3,2,1,4,4,3,5,4,3,4,5,2,1,6,100,2,4,1,4,4,1,1,2,3,3,4,4,4,4,3,4,4,0,1,1,3,3,7,2,1,24,4,1,2,3,0,2.28571428571429,3,4,3,2.5,3.83333333333333,"Male","ug","natural",1,23,1,"no",4,"other","less6months",6
"1163",1170,2,1,2,2,2,1,1,4,4,5,4,4,4,4,5,2,6,5,4,5,2,1,50,2,4,4,4,4,2,4,3,2,4,4,4,4,4,4,4,1,50,1,1,5,2,11,2,1,2,5,1,2,1,60,1.57142857142857,4.16666666666667,3.66666666666667,4.4,3.66666666666667,4,"Male","pg","natural",1,27,1,"no",5,"istanbul","more12months",1
"1164",1171,2,2,2,2,2,2,2,3,3,3,4,4,4,3,2,2,5,5,2,5,5,5,70,2,2,3,3,4,2,3,3,3,3,4,3,4,3,4,4,1,90,3,3,2,3,4,1,1,2,3,1,2,3,60,2,3.5,2.33333333333333,4.4,2.83333333333333,3.66666666666667,"Female","below_ug","not_sure",0,20,0,"no",4,"istanbul","less6months",5
"1165",1172,1,1,2,2,1,1,1,3,3,3,4,4,4,2,3,2,5,5,4,5,5,3,50,2,2,2,1,3,1,1,2,1,1,4,4,3,4,4,4,2,50,3,1,4,4,26,1,1,4,5,1,2,1,61,1.28571428571429,3.5,2.33333333333333,4.8,1.66666666666667,3.83333333333333,"Female","pg","natural",1,42,0,"no",3,"izmir","6to12months",3
"1166",1173,1,1,1,1,1,1,1,4,3,5,4,4,4,4,3,4,2,2,2,2,2,2,75,2,3,2,3,2,2,2,3,3,3,4,3,3,4,4,4,3,100,1,1,5,5,29,2,1,2,5,1,1,3,80,1,4,3.66666666666667,2,2.33333333333333,3.66666666666667,"Male","pg","natural",1,45,1,"yes",2,"istanbul","more12months",2
